Neidium distinctepunctatum
Neidium fogedii
Neidium hitchcockii
Neidium pseudodensestriatum
Neidium sacoense
Neidium undulatum
Ninastrelnikovia gibbosa
Nitzschia acicularis
Nitzschia acidoclinata
Nitzschia alpina
Nitzschia amphibia
Nitzschia angustata
Nitzschia balcanica
Nitzschia biacrula
Nitzschia brevissima
Nitzschia clausii
Nitzschia columbiana
Nitzschia communis
Nitzschia desertorum
Nitzschia dissipata
Nitzschia exilis
Nitzschia filiformis
Nitzschia fonticola
Nitzschia fonticoloides
Nitzschia incognita
Nitzschia innominata
Nitzschia kurzeana
Nitzschia liebethruthii
Nitzschia linearis
Nitzschia microcephala
Nitzschia minuta
Nitzschia oligotraphenta
Nitzschia oregona
Nitzschia palea
Nitzschia palea var. debilis
Nitzschia palea var. tenuirostris
Nitzschia paleacea
Nitzschia perminuta
Nitzschia recta
Nitzschia regula var. robusta
Nitzschia reversa
Nitzschia semirobusta
Nitzschia serpentiraphe
Nitzschia sigma
Nitzschia sigmoidea
Nitzschia siliqua
Nitzschia sociabilis
Nitzschia soratensis
Nitzschia valdecostata
Nupela carolina
Nupela decipiens
Nupela elegantula
Nupela fennica
Nupela frezelii
Nupela impexiformis
Nupela lapidosa
Nupela neglecta
Nupela pennsylvanica
Nupela poconoensis
Nupela potapovae
Nupela scissura
Nupela subrostrata
Nupela tenuicephala
Nupela vitiosa
Nupela wellneri
Odontidium hyemale
Odontidium mesodon
Orthoseira roeseana
Oxyneis binalis
Oxyneis binalis var. elliptica
Peronia fibula
Phaeodactylum tricornutum
Pinnularia acrosphaeria
Pinnularia borealis
Pinnularia borealis var. lanceolata
Pinnularia brauniana
Pinnularia brebissonii
Pinnularia cardinaliculus
Pinnularia cuneicephala
Pinnularia decrescens
Pinnularia divergentissima
Pinnularia formica
Pinnularia gigas
Pinnularia krammeri
Pinnularia lata
Pinnularia marchica
Pinnularia microstauron
Pinnularia nodosa
Pinnularia nodosa var. percapitata
Pinnularia parvulissima
Pinnularia polyonca var. stidolphii
Pinnularia rabenhorstii
Pinnularia rhombarea
Pinnularia rumrichae
Pinnularia saprophila
Pinnularia scotica
Pinnularia streptoraphe
Pinnularia suchlandtii
Pinnularia turfosiphila
Pinnularia turgidula
Pinnularia undula
Pinnularia undula var. major
Placoneis abiskoensis
Placoneis amphibola
Placoneis anglophila
Placoneis elginensis
Placoneis explanata
Placoneis gastrum
Plagiotropis arizonica
Plagiotropis lepidoptera var. proboscidea
Planothidium abbreviatum
Planothidium amphibium
Planothidium apiculatum
Planothidium biporomum
Planothidium delicatulum
Planothidium frequentissimum
Planothidium holstii
Planothidium incuriatum
Planothidium joursacense
Planothidium lanceolatoides
Planothidium lanceolatum
Planothidium potapovae
Planothidium reichardtii
Planothidium rostratoholarcticum
Planothidium sheathii
Platessa bahlsii
Platessa conspicua
Platessa hustedtii
Platessa kingstonii
Platessa lutheri
Platessa oblongella
Platessa stewartii
Platessa strelnikovae
Playaensis circumfimbria
Pleurosigma inflatum
Pleurosira laevis
Prestauroneis integra
Prestauroneis protracta
Proschkinia browderiana
Psammothidium acidoclinatum
Psammothidium alpinum
Psammothidium bioretii
Psammothidium chlidanos
Psammothidium daonense
Psammothidium didymum
Psammothidium harveyi
Psammothidium helveticum
Psammothidium lacustre
Psammothidium lauenburgianum
Psammothidium levanderi
Psammothidium microscopicum
Psammothidium nivale
Psammothidium obliquum
Psammothidium pennsylvanicum
Psammothidium rossii
Psammothidium scoticum
Psammothidium semiapertum
Psammothidium subatomoides
Pseudofallacia monoculata
Pseudostaurosira brevistriata
Punctastriata mimetica
Reimeria sinuata
Reimeria sinuata f. antiqua
Reimeria uniseriata
Rexlowea navicularis
Rhoicosphenia abbreviata
Rhoicosphenia californica
Rhoicosphenia stoermeri
Rossithidium anastasiae
Rossithidium kriegeri
Rossithidium nodosum
Rossithidium petersenii
Rossithidium pusillum
Scoliopleura peisonis
Sellaphora alastos
Sellaphora americana
Sellaphora atomoides
Sellaphora auldreekie
Sellaphora bacillm
Sellaphora bacilloides
Sellaphora bacillum
Sellaphora californica
Sellaphora disjuncta
Sellaphora fusticulus
Sellaphora hohnii
Sellaphora japonica
Sellaphora javanica
Sellaphora laevissima
Sellaphora meridionalis
Sellaphora moesta
Sellaphora nigri
Sellaphora pulchra
Sellaphora pupula
Sellaphora rexii
Sellaphora saugerresii
Sellaphora stauroneioides
Sellaphora stroemii
Sellaphora subbacillum
Sellaphora subfasciata
Sellaphora wallacei
Sellaphora wangii
Semiorbis catillifera
Semiorbis eliasiae
Semiorbis rotundus
Simonsenia delognei
Skabitschewskia oestrupii
Skabitschewskia peragalloi
Skeletonema costatum
Skeletonema marinoi
Skeletonema pseudocostatum
Spicaticribra kingstonii
Stauroforma exiguiformis
Stauroneis absaroka
Stauroneis acidoclinata
Stauroneis acidoclinatopsis
Stauroneis acuta
Stauroneis agrestis
Stauroneis akamina
Stauroneis americana
Stauroneis amphicephala
Stauroneis anceps
Stauroneis ancepsfallax
Stauroneis angustilancea
Stauroneis baconiana
Stauroneis beeskovea
Stauroneis bovbjergii
Stauroneis boyntoniae
Stauroneis bryocola
Stauroneis circumborealis
Stauroneis conspicua
Stauroneis finlandia
Stauroneis fluminopsis
Stauroneis gracilis
Stauroneis heinii
Stauroneis kingstonii
Stauroneis kishinena
Stauroneis kootenai
Stauroneis kriegeri
Stauroneis lauenburgiana
Stauroneis livingstonii
Stauroneis neohyalina
Stauroneis pax
Stauroneis phoenicenteron
Stauroneis pikuni
Stauroneis pseudagrestis
Stauroneis reichardtii
Stauroneis rex
Stauroneis sacajaweae
Stauroneis schroederi
Stauroneis separanda
Stauroneis siberica
Stauroneis smithii
Stauroneis smithii var. incisa
Stauroneis sonyae
Stauroneis staurolineata
Stauroneis stodderi
Stauroneis subborealis
Stauroneis submarginalis
Stauroneis supergracilis
Stauroneis superkuelbsii
Stauroneis thompsonii
Stauroneis vandevijveri
Staurophora amphioxys
Staurophora brantii
Staurophora columbiana
Staurophora soodensis
Staurophora tackei
Staurophora wislouchii
Staurosira binodis
Staurosira construens
Staurosira construens var. venter
Staurosira stevensonii
Staurosirella berolinensis
Staurosirella leptostauron
Staurosirella leptostauron var. dubia
Staurosirella martyi
Staurosirella pinnata
Staurosirella rhomboides
Stephanodiscus alpinus
Stephanodiscus binderanus
Stephanodiscus hantzschii
Stephanodiscus hantzschii fo. tenuis
Stephanodiscus minutulus
Stephanodiscus niagarae
Stephanodiscus oregonicus
Stephanodiscus parvus
Stephanodiscus reimeri
Stephanodiscus yellowstonensis
Surirella amphioxys
Surirella angusta
Surirella arctica
Surirella atomus
Surirella brebissonii
Surirella cruciata
Surirella crumena
Surirella iowensis
Surirella lacrimula
Surirella librile
Surirella ovalis
Surirella pinnata
Surirella stalagma
Surirella striatula
Surirella suecica
Surirella tenera
Surirella terryi
Surirella undulata
Synedra cyclopum
Synedra famelica
Synedra goulardii
Synedra mazamaensis
Tabellaria fenestrata
Tabellaria flocculosa
Tabularia fasciculata
Terpsinoe musica
Tetracyclus glans
Tetracyclus hinziae
Tetracyclus rupestris
Thalassiosira baltica
Thalassiosira eccentrica
Thalassiosira lacustris
Thalassiosira minima
Thalassiosira pseudonana
Thalassiosira weissflogii
Tryblionella apiculata
Tryblionella brunoi
Tryblionella calida
Tryblionella gracilis
Tryblionella granulata
Tryblionella hungarica
Tryblionella lanceola
Ulnaria acus
Ulnaria capitata
Ulnaria contracta
Ulnaria delicatissima
Urosolenia eriensis
